post,label
   ..for efficient spreading in the human population compared to other lineage b betacoronaviruses.,Deception
Corona virus Florida man arrested for robbery using cough as a weapon.�,Deception
Says Gov. Tony Evers is pushing firearm confiscation orders�,Deception
"The Chinese Government is shooting corona virus-infected people, almost 45000 killed",Deception
Graphics with information about COVID-19 containing UNICEF branding and inaccurate information.,Deception
   Let me be clear: Donald Trump knew about the threat the coronavirus posed and failed to act. It’s one of the most unjustifiable failures of presidential leadership in American history. ,Deception
Man Has Gone To Live In Parallel Universe    ,Deception
"Claim: Kins of those who died of COVID-19 can claim insurance under Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) and Pradhan Mantri Suraksha Bima Yojana (PMSBY)

: PMSBY doesn't cover COVID related deaths, while PMJJBY covers COVID deaths with certain conditions. ",Deception
"A ""Wuhan super virus"" was created in a Chinese biosecurity lab and has infected more than 100,000 people in Wuhan.",Deception
Raissa Soares a doctor in Bahia was fired from a state hospital under orders from Rui Costa Bahia's state governor. She was dismissed becaused she favoured the use of hydroxychloroquine against COVID-19.,Deception
Trump says coronavirus task force will keep working ‘indefinitely’ with a focus on vaccines and reopening  ,Deception
Matarratón tree cures COVID-19,Deception
Images shows how Indian police have beaten up migrant workers amid India's lockdown for commuting,Deception
Indian Government snooping messages over social media and all social media platforms will be monitored for COVID-19 messages,Deception
Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses “until after the November Elections.”,Deception
"PIB has clarified that PMSBY doesn't cover COVID related deaths, while PMJJBY covers COVID deaths with certain conditions.",Deception
Nokia distributing free phones to students amidst coronavirus pandemic,Deception
A nurse claims that Delhi govt has stopped funding for the hotel stay for doctors and nurses treating COVID-19.,Deception
Shopkeepers sleeping inside shops due to Modi govt's handling of COVID-19,Deception
"   Sir i was infected in mid August of covid 19 and after suffering for 8 days was prescribed for Favipiravir fabiflu and was cured.
In 36 hours most of my symptoms were gone fully recovered in 7 days",Deception
Multiple allegations on the bill drafted to Turkish congress named H.R. 6666.,Deception
Drinking tea and hot water kills the virus; lemon slices in warm water may save your life; it's recommended to keep your money in a sealed plastic bag; a conspiracy theory suggests China is benefiting from the pandemic; vinegar is good for cleaning your hands.,Deception
"Everyone who dies while infected with the SARS-Cov-2 is registered in official documents as ""dead by COVID-19"" even if the death is unrelated (e.g. a car accident)",Deception
Israel has manufactured the coronavirus vaccine,Deception
Poland stands up against compulsory vaccination.,Deception
Inhaling Hot Water Steam Kills Corona Virus - Homemade,Deception
I'm about to deliver remarks on the Coronavirus pandemic. Tune in to watch live: ,Deception
Woman burned her hands while putting on the stove due to high alcohol content in hand sanitiser,Deception
 conspiracy theories involving  continue to proliferate the latest involving a photoshopped image of his foundation's headquarters. Don't believe the misinformation watch  with  instead   ,Deception
Trump suggests donkey penises cure COVID-19   ,Deception
Dr. Vele Markovski claimd that ventilators and quarantines are doing great harm in treating coronavirus and that contamination level of SAR-Cov-2 is extremely low,Deception
Trump offers to pardon coronavirus    ,Deception
"ALERT: The Emergency Covid-19 Advice You Need To Hear 

 ",Deception
Dr. Li Wenliang discovered coffee can cure coronavirus.,Deception
"""It is the decision of the President,"" not governors, to ""open up the states.""",Deception
"Donald Trump ignored the experts, downplayed the threat COVID-19 posed, and failed to take the action necessary to contain it — and now in many states, COVID cases are on the rise again.

This president has failed to lead our nation. ",Deception
An alleged bot system on Twitter controlled by the right wing uncovered by mistake in Spain.,Deception
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",Deception
"""Couldn’t they have called the coronavirus something else” asks local man named Covid-19
",Deception
Local Man Appoints Himself World’s Foremost Expert On Coronavirus ,Deception
Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,Deception
Children will be separated from parents for coronavirus treatment.,Deception
Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week -,Deception
"Tonight 12(midnight) onwards Disaster Management Act has been implemented across the country. According to this update, apart from the Govt department no other citizen is allowed to post any update or share any forward related to Coronavirus, it being punishable offence.",Deception
Drinking alcohol kills the coronavirus.,Deception
"Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",Deception
Dead bodies wrapped in these white cloths are those of the people who died of COVID-19 in Osmania Hospital in the city of Hyderabad India.,Deception
"Keep your newborn more than 6 feet away from you as much as possible. Discuss with your healthcare provider about using a physical barrier (for example, placing the newborn in an incubator) while in the hospital.",Deception
Coronavirus patient bites a doctor's jugular in the USA.,Deception
"The coronavirus was called a ""plague"" by the WHO; 2.9 million were infected and 950680 died.",Deception
Claim that Fox news said that Trump tested positive for COVID-19.,Deception
Two psychics and a book about CIA have predicted the COVID-19 pandemic.,Deception
Says Democrats are on vacation until May 4 and refuse to come back� to sign a bill to help small businesses.,Deception
"Mycoplasma pneumonia can be treated with quinolones. 
The first quinolone discovered was chloroquine. 
Mycoplasma pneumonia is a rare but important cause of transverse myelitis.

 

",Deception
A post says that on 3/22/20 793 people died in Italy and included 232 kids.,Deception
"Last year, in China, a vaccine was compulsory and that vaccine supposedly hosts a digitized virus, is the one that causes COVID-19 and can be activated through 5G antennas.",Deception
Hydroxychloroquine cures! People shouldn't have to be in fear of their lives of this virus!,Deception
Prisons to release offenders early to prevent Coronavirus spread in US penal system   ,Deception
children can be taken away for Covid test without parental consent in the UK is Fake,Deception
Opening ceremony of 2012 London Olympics was a projection of coronavirus pandemic. The hospital beds apperaing on the scene during the opening show and Boris Johnson in a hospital bed prove that the spread of the disease was planned in advance.,Deception
Facebook posts shared thousands of times accuse authorities of lining the streets with empty body bags in a bid to fool people about the “fake” novel coronavirus pandemic.,Deception
CDC Joins Forces With Mosquito Joe for Targeted Virus Control      ,Deception
If you donate blood “they HAVE to test you” for coronavirus.,Deception
The Obama administration made a decision on testing that turned out to be very detrimental to what were doing� on the coronavirus.,Deception
Several social media users claimed that there was a massive crowd at Bangalore’s KR Market on the occasion of Varamahalaxmi flouting social distancing norms. This claim is misleading. A 2019 video is being passed off as a recent one.   ,Deception
"Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus.",Deception
Irish Lads On Quarantined Coronavirus Cruise Having ‘Absolute Mad One’ ,Deception
400 yatris are stuck at Vaishno Devi due to covid19.,Deception
Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.,Deception
Trump said hundreds of governors are calling him& we only have 50.�,Deception
Boiled garlic water for treating coronavirus.,Deception
Wearing masks for a long period of time can cause hypoxia.,Deception
Corona's Corona-Virus Update ,Deception
