post,label
"   Lucky for you grapefruit doesn’t make quinine. Hydtoxychloroquine is a different chemical. You’re not getting any.
Both are somewhat effective anti-malarial treatments but have side effects.
They have no effect on SARS-CoV-2 virus that causes Covid-19.

",Deception
Nevada Democratic Party leaders hijacked the process on the floor of the state convention ignoring the regular procedure and ramming through what they wanted to do.,Deception
"Says a group estimates that the annual cost to Oregon taxpayers for government services to illegal aliens, after any income tax revenue from them, is $1 billion.",Deception
There is long historical precedent for a Supreme Court with fewer justices.,Deception
Says Chuck Hagel has called for an end to our nuclear program.,Deception
A claim that the novel coronavirus was never detected in the major Chinese cities of Beijing and Shanghai has been shared repeatedly on Facebook Twitter and Instagram.,Deception
"Action by the Milwaukee County Board will provide the County Executive with the same level of security as the Governor and the Mayor of Milwaukee while saving taxpayers $300,000.",Deception
"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues.",Deception
"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse.""",Deception
An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,Deception
"Back in the Great Recession, when millions of jobs across America hung in the balance, Donald Trump said rescuing the auto industry didnt really matter very much. He said, and I quote again, Let it go.",Deception
"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",Deception
Says only about 2 percent of gunsales in Virginia are not subject to background checks.,Deception
Video of migrants in a overcrowded train from Mumbai to West Bengal on 10 May 2020 amid COVID-19 social distancing restrictictions.,Deception
Tinder Adds New “COVID-19 Positive” Option For Users      ,Deception
Great Idea for Mass Steam Inhalation during this            ,Deception
"In 2009, Jim Doyle and the Democrats rushed through a budget repair bill with billions in tax increases and held no public hearings.",Deception
She is the only candidate who has stood by our community and immigration reform from the beginning.,Deception
A police officer in Bihar's Hajipur jail has been affected with coronavirus.,Deception
"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",Deception
Saddam Hussein at a meeting in the nineties reported that the US threatened to quit the Corona virus on Iraq,Deception
Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,Deception
" Dr Shi (en het Wuhan Institute of Virology) deden mee aan dit onderzoek:
Utilizing the SARS-CoV infectious clone, we generated and characterized a chimeric virus expressing the spike of bat coronavirus SHC014 in a mouse adapted SARS-CoV backbone.
",Deception
