post,label
:  India Tracker (As on 06 September 2020 08:00 AM) ️Confirmed cases: 4113811 ️Recovered: 3180865 (77.3%) ️Active cases: 862320 (21.0%) ️Deaths: 70626 (1.7%)    Via  ,Truth
: India registers Recoveries of 65081 in the last 24 hours whereas 69921 new cases were reported In the last 24 hours 819 deaths reported   ,Truth
A small fraction of deaths in long-term care facilities are staff members. Nonetheless researchers estimate that by year’s end COVID-19 will make working in an LTC facility the most dangerous job in America in 2020.,Truth
 Following the national trend 17 States/UTs have more new recoveries than new cases. ,Truth
Update from the  There are three new cases of COVID-19 to report in managed isolation in New Zealand today.​ ​ The number of active cases in New Zealand is 25. It has been 79 days since the last case of COVID-19 was acquired locally from an unknown source.,Truth
221 new cases of ; Plateau-60 FCT-33 Kaduna-26 Rivers-18 Lagos-17 Enugu-9 Kwara-9 Ondo-9 Nasarawa-6 Gombe-5 Anambra-5 Delta-4 Abia-4 Imo-3 Edo-2 Ogun-2 Oyo-2 Osun-2 Bauchi-1 Kano-1 53021 confirmed 40281 discharged 1010 deaths ,Truth
Social distancing works for preventing other infectious diseases too. ,Truth
RT : Protect yourself and others from getting sick: Wash your hands   after coughing or sneezing  when caring for the sick…,Truth
The Access to  Tools (ACT) Accelerator brings together governments health organizations scientists businesses civil society ; philanthropists to speed up an end to the pandemic.  ,Truth
Some veterinary labs help with human  testing but can’t meet the demand for 700k daily tests. ,Truth
WHO:  transmission may include viral particles that remain airborne for longer than previously understood. ,Truth
Abuse-deterrent oxycontin will not solve the opioid epidemic. ,Truth
Our daily update is published. States reported 749k tests 44k cases and 1129 deaths. Virginia did not publish new data in time for today's update. ,Truth
