post,label
_A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday._,Deception
All India lock down increased till 4th may...,Deception
Mitt Romney did not run his campaign on the basis of arguing his experience in the business world was a reason to vote for him.,Deception
Says Republican U.S. Rep. Sean Duffy voted against paying our soldiers and against increasing combat pay while voting to protect his own pay.,Deception
Chinese President Xi Jinping urging Africans to reject a coronavirus vaccine that has killed all the animals it has been tested.,Deception
"A natural remedy that kills coronavirus. Start pot of boiling water on stove. Cut peels of oranges or lemons or both – your choice. Add sea salt to pot of boiling water. Add orange or lemon peels to pot of boiling hot water. Boil on high for a few minutes. When water and ingredients in pot have been brought to a boil, turn down the heat, put your face down to pot and breathe in steam. Do this for 15 minutes or as much as you can stand.",Deception
In a video seen or shared by millions of people doctors in white coats made a series of false or misleading claims on COVID-19. ,Deception
The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.,Deception
The Wisconsin Economic Development Corp. cannot account for creating one single job.,Deception
"Eleven. That's how many times we've broken the single-day record for new COVID-19 cases in the last month.

This virus isn't going to ""just disappear"" like President Trump wants. It's surging — and we need real leadership from this White House to slow its spread.",Deception
"Rob Portman shares radical, ideological views toward women.",Deception
Reporters have uncovered another Scott company accused of criminal acts. But Scott wont come clean.,Deception
"The World Health Organization (WHO) released a list of seven habits as ""the biggest brain-damaging habits.",Deception
Says Gov. Tony Evers removed the American flag from the Capitol building�,Deception
GOP presidential hopeful Herman Cain called Ron Pauls followers ignorant.,Deception
"A picture which states that wearing a protective mask is a ""slow inescapable suicide"" because it leads to consuming a dangerous amount of carbon dioxide.",Deception
Proud of  team busy in packing stuff for our “COVID 19 Family Support Program”. Ensuring physical distancing as well.  ,Deception
"Minister Railway  said that they can’t close 12 trains immediately as they dont have money to refund to passengers who have bought tickets in advance. In my view money shouldn’t be given preference over lives, my request is to review the decision. ",Deception
"The Brazilian mainstream media did not say anything after former president Lula said ""fortunately nature created this monster called coronavirus"".",Deception
Coronavirus Continues to Mutate in People’s Minds       ,Deception
The health care law adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor.,Deception
