post,label
Says Donald Trump won more counties than any candidate on our side since Ronald Reagan.,Truth
Says the state budget doubled property tax credits for seniors and middle class New Jerseyans and had no tax increases for any New Jersey family for the second year in a row.,Truth
The states overall revenues only returned this year to 2007 levels.,Truth
Says Ron Paul insisted FEMA should be shut down.,Truth
Says Donald Trump has the gall to say that prisoners of war like John McCain arent heroes.,Truth
Kathryn Starkey aided and abetted the continued taxation on residents properties over 70 percent of the time by seconding motions and voting to keep the millage rate the same.,Truth
"Since 2000, ""the Texas clean air program achieved a 22 percent reduction in ozone and a 46 percent decrease in NOx emissions.""",Truth
"Under Gov. Kitzhaber, unemployment rose 65 percent, state spending went up 57 percent and personal incomes declined compared to the rest of the country.",Truth
"If youre a wealthy CEO or a hedge fund manager in America right now, your taxes are lower than theyve been since the 1950s.",Truth
Ohios electricity rates are 10 percent below the national average.,Truth
Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.,Truth
Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,Truth
"In states where the federal government helps run these (health care) marketplaces, the average American will have more than 50 different plans to choose from, with different levels of coverage.",Truth
"Sen. Harry Reid voted against declaring English our national language, twice.",Truth
On the propriety of budget reconciliation.,Truth
The U.S. has to go to plane graveyards and museums to get parts for its 20-year-old jet fighters while it sells new jets to other countries.,Truth
House Democrats have a two-to-one advantage money-wise against House Republicans.,Truth
Rep. Frank Wolf voted to allow terror suspects to buy guns.,Truth
"Says the federal stimulus program was ineffective because the number of jobs has actually decreased by 18,300 through July 2011.",Truth
We lowered the business tax from 4 percent down to 1 percent.,Truth
Says that President Obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coal-fired power plant.,Truth
The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016.,Truth
Suzanne Bonamici votes with her party a partisan 98 percent of the time.,Truth
"We definitely lost way more jobs in Texas this year than we gained we lost 300,000 jobs in Texas alone this year.",Truth
"For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.",Truth
"500,000 U.S. troops came home from Iraq and Afghanistan with PTSD and traumatic brain injury.",Truth
(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.,Truth
Says Rick Santorum voted for the Bridge to Nowhere.,Truth
Says Rick Scott oversaw the largest Medicare fraud in the nations history.,Truth
A recent study found that cities where Uber operates have 3.6%-5.6% fewer drunk driving deaths than cities without access to ridesharing.,Truth
A provision of the Senate immigration bill would require you to have government permission to get a second job.,Truth
"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.",Truth
"In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.",Truth
Were borrowing 20% of (the federal) budget.,Truth
President Barack Obamas judicial appointments for Georgia and the region were drafted in secret and not vetted by legal groups among the presidents supporters.,Truth
"Says an illegal immigrant fraudulently claimed children who actually lived in Mexico on income tax forms to collect more than $29,000.",Truth
Illegal immigrants currently occupy 8 million jobs.,Truth
"A Koch brothers group is going to college campuses, giving away free booze to try to bribe young folks out of getting health insurance.",Truth
Says Donald Trumps only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.,Truth
"Literally, by the time a child is 18 years of age, theyve killed over 100,000 people in video games and other online things.",Truth
"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two.",Truth
Says his sons were targeted on Facebook by out-of-state protesters.,Truth
Says 85 percent of Milwaukee shootings involve people with extensive criminal records shooting other people with extensive criminal records.,Truth
I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated before deciding whether to endorse it.,Truth
